time,Hand_fighting,high_collar_grip,left_hand,left_leg,leg_inside,leg_outside,low_collar_grip,over_hook,posture_gain,posture_lost,reset,right_hand,right_leg,sleeve_grip,stepping_backwards,stepping_foward
124.238,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
125.238,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,0
126.238,1,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0
127.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
128.238,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
129.238,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
130.238,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0
131.238,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2
132.238,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2
133.238,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134.238,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
135.238,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0
136.238,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2
137.238,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
138.238,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
139.238,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
140.238,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
141.238,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0
142.238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
143.238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
144.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145.238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
157.238,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,2
158.238,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
159.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160.238,1,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0
161.238,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
162.238,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
163.238,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2
164.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
166.238,2,0,1,1,0,0,0,0,0,0,0,1,2,0,0,2
167.238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
168.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
169.238,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
170.238,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1
171.238,3,0,1,1,0,0,0,0,0,0,0,2,1,0,1,2
172.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
173.238,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
174.238,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
175.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
176.238,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3
